"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"mcs_vc9_16kitchen","Integer","","Recommended","Furniture and Rooms. kitchen","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_285,i_a_9_16,say_kitchen"
"mcs_vc9_17livingroom","Integer","","Recommended","Furniture and Rooms. living room","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_286,i_a_9_17,say_living_room"
"mcs_vc9_18oven","Integer","","Recommended","Furniture and Rooms. oven","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_287,i_a_9_18,say_oven"
"mcs_vc9_19playpen","Integer","","Recommended","Furniture and Rooms. playpen","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_288,i_a_9_19,say_play_pen"
"mcs_vc9_20porch","Integer","","Recommended","Furniture and Rooms. porch","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_289,i_a_9_20,say_porch"
"mcs_vc9_21potty","Integer","","Recommended","Furniture and Rooms. potty","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_290,i_a_9_21,say_potty"
"mcs_vc9_22refrigerator","Integer","","Recommended","Furniture and Rooms. refrigerator","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_291,i_a_9_22,say_refrigerator"
"mcs_vc9_23rockingchair","Integer","","Recommended","Furniture and Rooms. rockingchair","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_292,i_a_9_23,say_rocking_chair"
"mcs_vc9_24room","Integer","","Recommended","Furniture and Rooms. room","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_293,i_a_9_24,say_room"
"mcs_vc9_25shower","Integer","","Recommended","Furniture and Rooms. shower","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_294,i_a_9_25,say_shower"
"mcs_vc9_26sink","Integer","","Recommended","Furniture and Rooms. sink","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_295,i_a_9_26,say_sink"
"mcs_vc9_27sofa","Integer","","Recommended","Furniture and Rooms. sofa","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_296,i_a_9_27,say_sofa"
"mcs_vc9_28stairs","Integer","","Recommended","Furniture and Rooms. stairs","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_297,i_a_9_28,say_stairs"
"mcs_vc9_29stove","Integer","","Recommended","Furniture and Rooms. stove","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_298,i_a_9_29,say_stove"
"mcs_vc9_30table","Integer","","Recommended","Furniture and Rooms. table","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_299,i_a_9_30,say_table"
"mcs_vc9_31tv","Integer","","Recommended","Furniture and Rooms. TV","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_300,i_a_9_31,say_tv"
"mcs_vc9_32washingmachine","Integer","","Recommended","Furniture and Rooms. washingmachine","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_301,i_a_9_32,say_washing_machine"
"mcs_vc9_33window","Integer","","Recommended","Furniture and Rooms. window","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_302,i_a_9_33,say_window"
"mcs_vc10_1backyard","Integer","","Recommended","Outside Thlnqs. backyard","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_304,i_a_10_1,say_backyard"
"mcs_vc10_2cloud","Integer","","Recommended","Outside Thlnqs. cloud","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_305,i_a_10_2,say_cloud"
"mcs_vc10_3flag","Integer","","Recommended","Outside Thlnqs. flag","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_306,i_a_10_3,say_flag"
"mcs_vc10_4flower","Integer","","Recommended","Outside Thlnqs. flower","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_307,i_a_10_4,say_flower"
"mcs_vc10_5garden","Integer","","Recommended","Outside Thlnqs. garden","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_308,i_a_10_5,say_garden"
"mcs_vc10_6grass","Integer","","Recommended","Outside Thlnqs. grass","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_309,i_a_10_6,say_grass"
"mcs_vc10_7hose","Integer","","Recommended","Outside Thlnqs. hose","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_310,i_a_10_7,say_hose"
"mcs_vc10_8ladder","Integer","","Recommended","Outside Thlnqs. ladder","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_311,i_a_10_8,say_ladder"
"mcs_vc10_9lawnmower","Integer","","Recommended","Outside Thlnqs. lawnmower","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_312,i_a_10_9,say_lawn_mower"
"mcs_vc10_10moon","Integer","","Recommended","Outside Thlnqs. moon","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_313,i_a_10_10�,say_moon"
"mcs_vc10_11pool","Integer","","Recommended","Outside Thlnqs. pool","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_314,i_a_10_11�,say_pool"
"mcs_vc10_12rain","Integer","","Recommended","Outside Thlnqs. rain","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_315,i_a_10_12�,say_rain"
"mcs_vc10_13rock","Integer","","Recommended","Outside Thlnqs. rock","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_316,i_a_10_13�,say_rock"
"mcs_vc10_14roof","Integer","","Recommended","Outside Thlnqs. roof","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_317,i_a_10_14�,say_roof"
"mcs_vc10_15sandbox","Integer","","Recommended","Outside Thlnqs. sandbox","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_318,i_a_10_15�,say_sandbox"
"mcs_vc10_16shovel","Integer","","Recommended","Outside Thlnqs. shovel","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_319,i_a_10_16�,say_shovel"
"mcs_vc10_17sidewalk","Integer","","Recommended","Outside Thlnqs. sidewalk","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_320,i_a_10_17�,say_sidewalk"
"mcs_vc10_18sky","Integer","","Recommended","Outside Thlnqs. sky","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_321,i_a_10_18�,say_sky"
"mcs_vc10_19slide","Integer","","Recommended","Outside Thlnqs. slide","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_322,i_a_10_19�,say_slide"
"mcs_vc10_20snow","Integer","","Recommended","Outside Thlnqs. snow","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_323,i_a_10_20�,say_snow"
"mcs_vc10_21snowman","Integer","","Recommended","Outside Thlnqs. snowman","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_324,i_a_10_21�,say_snowman"
"mcs_vc10_22sprinkler","Integer","","Recommended","Outside Thlnqs. sprinkler","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_325,i_a_10_22�,say_sprinkler"
"mcs_vc10_23star","Integer","","Recommended","Outside Thlnqs. star","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_326,i_a_10_23�,say_star"
"mcs_vc10_24stick","Integer","","Recommended","Outside Thlnqs. stick","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_327,i_a_10_24�,say_stick"
"mcs_vc10_25stone","Integer","","Recommended","Outside Thlnqs. stone","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_328,i_a_10_25�,say_stone"
"mcs_vc10_26street","Integer","","Recommended","Outside Thlnqs. street","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_329,i_a_10_26�,say_street"
"mcs_vc10_27sun","Integer","","Recommended","Outside Thlnqs. sun","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_330,i_a_10_27�,say_sun"
"mcs_vc10_28swing","Integer","","Recommended","Outside Thlnqs. swing","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_331,i_a_10_28�,say_swing"
"mcs_vc10_29tree","Integer","","Recommended","Outside Thlnqs. tree","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_332,i_a_10_29�,say_tree"
"mcs_vc10_30water","Integer","","Recommended","Outside Thlnqs. water","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_333,i_a_10_30�,say_outside_water"
"mcs_vc10_31wind","Integer","","Recommended","Outside Thlnqs. wind","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_334,i_a_10_31�,say_wind"
"mcs_vc14_79spill","Integer","","Recommended","Action Words. spill","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","i_a_14_79�,say_spill"
"mcs_vc11_1beach","Integer","","Recommended","Places to Go. beach","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_336,i_a_11_1,say_beach"
"mcs_vc11_2camping","Integer","","Recommended","Places to Go. camping","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_337,i_a_11_2,say_camping"
"mcs_vc11_3church","Integer","","Recommended","Places to Go. church","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_338,i_a_11_3,say_church"
"mcs_vc11_4circus","Integer","","Recommended","Places to Go. circus","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_339,i_a_11_4,say_circus"
"mcs_vc11_5country","Integer","","Recommended","Places to Go. country","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_340,i_a_11_5,say_country"
"mcs_vc11_6downtown","Integer","","Recommended","Places to Go. downtown","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_341,i_a_11_6,say_downtown"
"mcs_vc11_7farm","Integer","","Recommended","Places to Go. farm","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_342,i_a_11_7,say_farm"
"mcs_vc11_8gasstation","Integer","","Recommended","Places to Go. gasstation","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_343,i_a_11_8,say_gas_station"
"mcs_vc11_9home","Integer","","Recommended","Places to Go. home","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_344,i_a_11_9,say_home"
"mcs_vc11_10house","Integer","","Recommended","Places to Go. house","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_345,i_a_11_10�,say_house"
"mcs_vc11_11movie","Integer","","Recommended","Places to Go. movie","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_346,i_a_11_11�,say_movie"
"mcs_vc11_12outside","Integer","","Recommended","Places to Go. outside","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_347,i_a_11_12�,say_outside"
"mcs_vc11_13park","Integer","","Recommended","Places to Go. park","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_348,i_a_11_13�,say_park"
"mcs_vc11_14party","Integer","","Recommended","Places to Go. party","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_349,i_a_11_14�,say_party"
"mcs_vc11_15picnic","Integer","","Recommended","Places to Go. picnic","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_350,i_a_11_15�,say_picnic"
"mcs_vc11_16playground","Integer","","Recommended","Places to Go. playground","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_351,i_a_11_16�,say_playground"
"mcs_vc11_17school","Integer","","Recommended","Places to Go. school","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_352,i_a_11_17�,say_school"
"mcs_vc11_18store","Integer","","Recommended","Places to Go. store","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_353,i_a_11_18�,say_store"
"mcs_vc11_19woods","Integer","","Recommended","Places to Go. woods","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_354,i_a_11_19�,say_woods"
"mcs_vc11_20work","Integer","","Recommended","Places to Go. work","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_354a,i_a_11_20�,say_work"
"mcs_vc11_21yard","Integer","","Recommended","Places to Go. yard","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_355,i_a_11_21�,say_yard"
"mcs_vc11_22zoo","Integer","","Recommended","Places to Go. zoo","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_356,i_a_11_22�,say_zoo"
"mcs_vc12_1aunt","Integer","","Recommended","People. aunt","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_358,i_a_12_1,say_aunt"
"mcs_vc12_2baby","Integer","","Recommended","People. baby","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_359,i_a_12_2,say_baby"
"mcs_vc12_3babysitter","Integer","","Recommended","People. babysitter","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_360,i_a_12_3,say_babysitter"
"mcs_vc12_4babysittername","Integer","","Recommended","People. babysitter's name","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_361,i_a_12_4,say_babysitter_name"
"mcs_vc12_5boy","Integer","","Recommended","People. boy","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_362,i_a_12_5,say_boy"
"mcs_vc12_6brother","Integer","","Recommended","People. brother","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_363,i_a_12_6,say_brother"
"mcs_vc12_7child","Integer","","Recommended","People. child","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_364,i_a_12_7,say_child"
"mcs_vc12_8clown","Integer","","Recommended","People. clown","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_365,i_a_12_8,say_clown"
"mcs_vc12_9cowboy","Integer","","Recommended","People. cowboy","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_366,i_a_12_9,say_cowboy"
"mcs_vc12_10daddy","Integer","","Recommended","People. daddy","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_367,i_a_12_10�,say_daddy"
"mcs_vc12_11doctor","Integer","","Recommended","People. doctor","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_368,i_a_12_11�,say_doctor"
"mcs_vc12_12fireman","Integer","","Recommended","People. fireman","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_369,i_a_12_12�,say_fireman"
"mcs_vc12_13friend","Integer","","Recommended","People. friend","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_370,i_a_12_13�,say_friend"
"mcs_vc12_14girl","Integer","","Recommended","People. girl","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_371,i_a_12_14�,say_girl"
"mcs_vc12_15grandma","Integer","","Recommended","People. grandma","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_372,i_a_12_15�,say_grandma"
"mcs_vc12_16grandpa","Integer","","Recommended","People. grandpa","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_373,i_a_12_16�,say_grandpa"
"mcs_vc12_17lady","Integer","","Recommended","People. lady","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_374,i_a_12_17�,say_lady"
"mcs_vc12_18mailman","Integer","","Recommended","People. mailman","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_375,i_a_12_18�,say_mailman"
"mcs_vc12_19man","Integer","","Recommended","People. man","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_376,i_a_12_19�,say_man"
"mcs_vc12_20mommy","Integer","","Recommended","People. mommy","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_377,i_a_12_20�,say_mommy"
"mcs_vc12_21nurse","Integer","","Recommended","People. nurse","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_378,i_a_12_21�,say_nurse"
"mcs_vc12_22childname","Integer","","Recommended","People. childname","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_379,i_a_12_22�,say_child_own_name"
"mcs_vc12_23people","Integer","","Recommended","People. people","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_380,i_a_12_23�,say_people"
"mcs_vc12_24person","Integer","","Recommended","People. person","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_380a,i_a_12_24�,say_person"
"mcs_vc12_25petname","Integer","","Recommended","People. petname","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_381,i_a_12_25�,say_pet_name"
"mcs_vc12_26police","Integer","","Recommended","People. police","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_382,i_a_12_26�,say_police"
"mcs_vc12_27sister","Integer","","Recommended","People. sister","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_383,i_a_12_27�,say_sister"
"mcs_vc12_28teacher","Integer","","Recommended","People. teacher","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_384,i_a_12_28�,say_teacher"
"mcs_vc12_29uncle","Integer","","Recommended","People. uncle","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_385,i_a_12_29�,say_uncle"
"mcs_vc13_1bath","Integer","","Recommended","Games and Routines. bath","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_387,i_a_13_1,say_bath"
"mcs_vc13_2breakfast","Integer","","Recommended","Games and Routines. breakfast","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_388,i_a_13_2,say_breakfast"
"mcs_vc13_3bye","Integer","","Recommended","Games and Routines. bye","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_389,i_a_13_3,say_bye"
"mcs_vc13_4callph","Integer","","Recommended","Games and Routines. callph","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_390,i_a_13_4,say_call"
"mcs_vc13_5dinner","Integer","","Recommended","Games and Routines. dinner","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_391,i_a_13_5,say_dinner"
"mcs_vc13_6givemefive","Integer","","Recommended","Games and Routines. giveme five","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_392,i_a_13_6,say_give_me_five"
"mcs_vc13_7gonnagetyou","Integer","","Recommended","Games and Routines. gonna get  you","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_393,i_a_13_7,say_gonna_get_you"
"mcs_vc13_8gopotty","Integer","","Recommended","Games and Routines. go potty","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_394,i_a_13_8,say_go_potty"
"mcs_vc13_9hi","Integer","","Recommended","Games and Routines. hi","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_395,i_a_13_9,say_hi"
"mcs_vc13_10hello","Integer","","Recommended","Games and Routines. hello","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_396,i_a_13_10�,say_hello"
"mcs_vc13_11lunch","Integer","","Recommended","Games and Routines. lunch","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_397,i_a_13_11�,say_lunch"
"mcs_vc13_12nap","Integer","","Recommended","Games and Routines. nap","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_398,i_a_13_12�,say_nap"
"mcs_vc13_13night","Integer","","Recommended","Games and Routines. night night","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_399,i_a_13_13�,say_night_night"
"mcs_vc13_14no","Integer","","Recommended","Games and Routines. no","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_400,i_a_13_14�,say_no"
"mcs_vc13_15pattycake","Integer","","Recommended","Games and Routines. patty cake","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_401,i_a_13_15�,say_patty_cake"
"mcs_vc13_16peekaboo","Integer","","Recommended","Games and Routines. peekaboo","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_402,i_a_13_16�,say_peekaboo"
"mcs_vc13_17please","Integer","","Recommended","Games and Routines. please","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_403,i_a_13_17�,say_please"
"mcs_vc13_18shush","Integer","","Recommended","Games and Routines. shush","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_404,i_a_13_18�,say_shush"
"mcs_vc13_19shopping","Integer","","Recommended","Games and Routines. shopping","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_405,i_a_13_19�,say_shopping"
"mcs_vc13_20snack","Integer","","Recommended","Games and Routines. snack","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_406,i_a_13_20�,say_snack"
"mcs_vc13_21sobig","Integer","","Recommended","Games and Routines. so big","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_407,i_a_13_21�,say_so_big"
"mcs_vc13_22thankyou","Integer","","Recommended","Games and Routines. thank you","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_408,i_a_13_22�,say_thank_you"
"mcs_vc13_23thislittlepiggy","Integer","","Recommended","Games and Routines. this little piggy","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_409,i_a_13_23�,say_this_little_piggy"
"mcs_vc13_24turnaround","Integer","","Recommended","Games and Routines. turn around","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_410,i_a_13_24�,say_turn_around"
"mcs_vc13_25yes","Integer","","Recommended","Games and Routines. yes","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_411,i_a_13_25�,say_yes"
"mcs_vc14_1bite","Integer","","Recommended","Action Words. bite","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_413,i_a_14_1,say_bite"
"mcs_vc14_2blow","Integer","","Recommended","Action Words. blow","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_414,i_a_14_2,say_blow"
"mcs_vc14_3break","Integer","","Recommended","Action Words. break","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_415,i_a_14_3,say_break"
"mcs_vc14_4bring","Integer","","Recommended","Action Words. bring","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_416,i_a_14_4,say_bring"
"mcs_vc14_5build","Integer","","Recommended","Action Words. build","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_417,i_a_14_5,say_build"
"mcs_vc14_6bump","Integer","","Recommended","Action Words. bump","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_418,i_a_14_6,say_bump"
"mcs_vc14_7buy","Integer","","Recommended","Action Words. buy","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_419,i_a_14_7,say_buy"
"mcs_vc14_8carry","Integer","","Recommended","Action Words. carry","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_420,i_a_14_8,say_carry"
"mcs_vc14_9catch","Integer","","Recommended","Action Words. catch","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_421,i_a_14_9,say_catch"
"mcs_vc14_10chase","Integer","","Recommended","Action Words. chase","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_422,i_a_14_10�,say_chase"
"mcs_vc14_11clap","Integer","","Recommended","Action Words. clap","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_423,i_a_14_11�,say_clap"
"mcs_vc14_12clean","Integer","","Recommended","Action Words. clean","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_424,i_a_14_12�,say_clean"
"mcs_vc14_13climb","Integer","","Recommended","Action Words. climb","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_425,i_a_14_13�,say_climb"
"mcs_vc14_14close","Integer","","Recommended","Action Words. close","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_426,i_a_14_14�,say_close"
"mcs_vc14_15cook","Integer","","Recommended","Action Words. cook","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_427,i_a_14_15�,say_cook"
"mcs_vc14_16cover","Integer","","Recommended","Action Words. cover","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_428,i_a_14_16�,say_cover"
"mcs_vc14_17cry","Integer","","Recommended","Action Words. cry","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_429,i_a_14_17�,say_cry"
"mcs_vc14_18cut","Integer","","Recommended","Action Words. cut","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_430,i_a_14_18�,say_cut"
"mcs_vc14_19dance","Integer","","Recommended","Action Words. dance","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_431,i_a_14_19�,say_dance"
"mcs_vc14_20draw","Integer","","Recommended","Action Words. draw","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_432,i_a_14_20�,say_draw"
"mcs_vc14_21drink","Integer","","Recommended","Action Words. drink","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_433,i_a_14_21�,say_action_drink"
